"OWNERID","EMAIL","sum_AMOUNT","sum_REVENUE","mindate_CLOSEDATEFULL","maxdate_CLOSEDATEFULL"
"3614","jbostockdc@examplecompany.com","304","45600","10-04-2020","10-04-2020"
"4396","hdeambrosim6@examplecompany.com","133","19950","06-01-2020","06-01-2020"
"8075","ggiovannardibt@examplecompany.com","515","77250","03-21-2020","11-16-2020"
"7984","vstancermm@examplecompany.com","318","47700","12-17-2019","12-17-2019"
"7078","cdanaz@examplecompany.com","80","12000","11-01-2020","11-01-2020"
"4543","cguysoq@examplecompany.com","127","19050","01-18-2020","01-18-2020"
"5673","rgovesmz@examplecompany.com","152","22800","01-22-2020","01-22-2020"
"5324","kgrettong7@examplecompany.com","266","39900","10-14-2020","10-14-2020"
"1370","rmacarthur9o@examplecompany.com","92","13800","06-20-2020","06-20-2020"
"5323","kdeacockn4@examplecompany.com","15","2250","04-07-2020","04-07-2020"
"6058","isauljm@examplecompany.com","285","42750","06-26-2020","06-26-2020"
"7343","sbuggegc@examplecompany.com","125","18750","05-29-2020","05-29-2020"
"7812","klockwoodmk@examplecompany.com","170","25500","05-24-2020","05-24-2020"
"3903","pmaynardbe@examplecompany.com","268","40200","06-09-2020","06-09-2020"
"7095","bdowers7f@examplecompany.com","266","39900","09-30-2020","09-30-2020"
"9695","jkelsofk@examplecompany.com","59","8850","03-01-2020","03-01-2020"
"3569","fchidzoy1h@examplecompany.com","18","2700","07-03-2020","07-03-2020"
"2664","gskokoem1@examplecompany.com","189","28350","07-07-2020","07-07-2020"
"9043","ctrayling3l@examplecompany.com","56","8400","08-02-2020","08-02-2020"
"6787","cearpei@examplecompany.com","388","58200","05-16-2020","09-01-2020"
"6316","ecurzeygx@examplecompany.com","203","30450","05-08-2020","05-08-2020"
"5442","bparlotom@examplecompany.com","290","43500","01-09-2020","01-09-2020"
"5895","qwhiley8b@examplecompany.com","32","4800","03-18-2020","03-18-2020"
"4220","xatwell8p@examplecompany.com","137","20550","04-03-2020","09-19-2020"
"5955","lbedhamj4@examplecompany.com","35","5250","04-27-2020","04-27-2020"
"9361","mbarthela8@examplecompany.com","224","33600","05-18-2020","05-18-2020"
"6752","tgaliford1x@examplecompany.com","188","28200","09-05-2020","09-05-2020"
"7817","vcanizaresih@examplecompany.com","260","39000","05-26-2020","05-26-2020"
"9819","ccampionh5@examplecompany.com","232","34800","03-13-2020","03-13-2020"
"1256","zraddanbj@examplecompany.com","22","3300","04-13-2020","04-13-2020"
"9458","kfrie35@examplecompany.com","257","38550","06-11-2020","06-11-2020"
"9622","rpilipyakfl@examplecompany.com","207","31050","06-17-2020","06-17-2020"
"9669","dashington39@examplecompany.com","180","27000","11-29-2020","11-29-2020"
"3985","cdreganhc@examplecompany.com","161","24150","08-18-2020","08-18-2020"
"3343","gkentondl@examplecompany.com","217","32550","08-25-2020","08-25-2020"
"8583","blabro13@examplecompany.com","374","56100","06-26-2020","08-31-2020"
"4388","soxerk0@examplecompany.com","333","49950","07-14-2020","07-14-2020"
"8700","bnorwoodq9@examplecompany.com","199","29850","07-04-2020","07-04-2020"
"5187","ihuikerbyie@examplecompany.com","169","25350","12-29-2019","12-29-2019"
"3643","ekupis3a@examplecompany.com","19","2850","05-12-2020","05-12-2020"
"8486","gpercifer2g@examplecompany.com","184","27600","03-12-2020","04-09-2020"
"2732","esermanhi@examplecompany.com","175","26250","04-09-2020","04-09-2020"
"4786","hfuzzensep@examplecompany.com","96","14400","07-01-2020","07-01-2020"
"8857","btyreman1a@examplecompany.com","350","52500","01-30-2020","09-13-2020"
"1114","frichienr@examplecompany.com","50","7500","04-30-2020","04-30-2020"
"8868","rlademanne8@examplecompany.com","141","21150","03-13-2020","03-13-2020"
"4340","dsutheran8g@examplecompany.com","241","36150","03-25-2020","08-23-2020"
"9923","flilledd@examplecompany.com","120","18000","09-05-2020","09-05-2020"
"4747","mempringhams@examplecompany.com","320","48000","12-13-2019","09-07-2020"
"5613","rbent1b@examplecompany.com","230","34500","07-30-2020","07-30-2020"
"5342","ellop4j@examplecompany.com","280","42000","04-17-2020","04-17-2020"
"4511","gkickn6@examplecompany.com","172","25800","01-10-2020","01-10-2020"
"4431","fsenussi3m@examplecompany.com","190","28500","02-15-2020","02-15-2020"
"9253","rposen2r@examplecompany.com","100","15000","03-22-2020","03-22-2020"
"3995","jmaliffebc@examplecompany.com","303","45450","02-21-2020","02-21-2020"
"2439","nbroadberryc7@examplecompany.com","2","300","07-05-2020","07-05-2020"
"7074","aissacov5@examplecompany.com","105","15750","02-13-2020","07-24-2020"
"2475","qaberchirdere3@examplecompany.com","209","31350","11-23-2020","11-23-2020"
"2183","pcominie4@examplecompany.com","274","41100","12-04-2019","06-25-2020"
"6635","mhaycox19@examplecompany.com","129","19350","10-07-2020","10-07-2020"
"4525","kohalligan32@examplecompany.com","350","52500","10-02-2020","10-02-2020"
"2827","radrianello2q@examplecompany.com","160","24000","01-05-2020","01-05-2020"
"5893","fgolsonf@examplecompany.com","319","47850","12-12-2019","12-12-2019"
"3517","gpeasnoneda@examplecompany.com","33","4950","05-18-2020","05-18-2020"
"7559","ckinnach14@examplecompany.com","26","3900","11-20-2020","11-20-2020"
"9376","pbarteletp5@examplecompany.com","337","50550","04-17-2020","04-17-2020"
"7163","cbrockmanj1@examplecompany.com","263","39450","07-29-2020","07-29-2020"
"8644","mbredekj@examplecompany.com","263","39450","06-18-2020","06-18-2020"
"8474","okingette6@examplecompany.com","335","50250","08-22-2020","08-22-2020"
"9907","adoolerga@examplecompany.com","41","6150","06-21-2020","06-21-2020"
"7422","wdarbeyh1@examplecompany.com","109","16350","01-06-2020","01-06-2020"
"7616","vinns70@examplecompany.com","271","40650","04-18-2020","04-18-2020"
"5375","aastonna@examplecompany.com","158","23700","01-08-2020","01-08-2020"
"5900","btometnc@examplecompany.com","285","42750","08-30-2020","08-30-2020"
"7486","eroddie4a@examplecompany.com","180","27000","09-19-2020","09-19-2020"
"5494","csteggles3f@examplecompany.com","339","50850","03-13-2020","03-13-2020"
"3474","plownjs@examplecompany.com","344","51600","05-07-2020","05-07-2020"
"2075","gdorkingiw@examplecompany.com","350","52500","04-03-2020","04-03-2020"
"8704","praubenheimersf0@examplecompany.com","135","20250","03-14-2020","03-14-2020"
"1160","mdevennieck@examplecompany.com","84","12600","11-26-2019","11-26-2019"
"7859","jspaxmanjc@examplecompany.com","61","9150","03-25-2020","03-25-2020"
"1477","kfellgattkh@examplecompany.com","111","16650","06-19-2020","06-19-2020"
"2697","kolin9g@examplecompany.com","290","43500","03-05-2020","03-05-2020"
"4756","dpaschke20@examplecompany.com","18","2700","05-04-2020","05-04-2020"
"7001","gwadwell6k@examplecompany.com","259","38850","12-30-2019","12-30-2019"
"3742","gmealen9@examplecompany.com","189","28350","04-18-2020","04-18-2020"
"7808","chedneyl@examplecompany.com","120","18000","04-18-2020","04-18-2020"
"2004","reagletonax@examplecompany.com","45","6750","05-04-2020","05-04-2020"
"5014","gcumpsty95@examplecompany.com","48","7200","07-03-2020","07-03-2020"
"6961","esindallq2@examplecompany.com","238","35700","05-18-2020","05-18-2020"
"6581","twoolandii@examplecompany.com","14","2100","08-22-2020","08-22-2020"
"3030","ahebronji@examplecompany.com","8","1200","05-31-2020","05-31-2020"
"8718","ocotman41@examplecompany.com","282","42300","01-12-2020","01-12-2020"
"8786","tgorckec4@examplecompany.com","240","36000","05-21-2020","05-21-2020"
"1204","fbeggini8z@examplecompany.com","346","51900","06-24-2020","06-24-2020"
"3713","dbanfordhd@examplecompany.com","321","48150","06-22-2020","06-22-2020"
"4660","santognozzii6l@examplecompany.com","491","73650","04-11-2020","09-07-2020"
"4125","bhailesok@examplecompany.com","138","20700","06-24-2020","06-24-2020"
"5698","wbrynsox@examplecompany.com","223","33450","11-29-2020","11-29-2020"
"5315","fjewess69@examplecompany.com","324","48600","11-14-2020","11-14-2020"
"1321","ntrebble2f@examplecompany.com","61","9150","08-02-2020","08-02-2020"
"4194","lfarrowjn@examplecompany.com","77","11550","08-11-2020","08-11-2020"
"2139","ghukinjg@examplecompany.com","52","7800","05-01-2020","05-01-2020"
"9259","ltytcombff@examplecompany.com","345","51750","02-01-2020","04-28-2020"
"4151","hkefordnx@examplecompany.com","67","10050","04-01-2020","04-01-2020"
"6666","jbravingtonq3@examplecompany.com","150","22500","09-07-2020","09-07-2020"
"8606","mhartwright5b@examplecompany.com","198","29700","01-04-2020","01-04-2020"
"5226","egillmor33@examplecompany.com","26","3900","11-25-2019","11-25-2019"
"8756","smcrillh@examplecompany.com","337","50550","03-07-2020","03-07-2020"
"7622","jweedsm@examplecompany.com","323","48450","02-06-2020","02-07-2020"
"8988","rjeffreys2x@examplecompany.com","4","600","04-26-2020","04-26-2020"
"2038","ckeppel6j@examplecompany.com","339","50850","12-28-2019","12-28-2019"
"8925","socalleran3d@examplecompany.com","341","51150","04-14-2020","04-14-2020"
"1439","lsalvador7i@examplecompany.com","317","47550","07-17-2020","07-17-2020"
"9271","elutwyche76@examplecompany.com","121","18150","04-21-2020","04-21-2020"
"3695","lsyder59@examplecompany.com","231","34650","06-17-2020","06-17-2020"
"3752","mgroveham6z@examplecompany.com","128","19200","05-12-2020","05-12-2020"
"9756","kknaggs7e@examplecompany.com","1","150","03-24-2020","03-24-2020"
"2938","cscogginsl1@examplecompany.com","20","3000","12-22-2019","12-22-2019"
"2039","mkernockig@examplecompany.com","293","43950","08-30-2020","08-30-2020"
"8677","wbundeymj@examplecompany.com","53","7950","05-13-2020","05-13-2020"
"6186","sszwarckw@examplecompany.com","300","45000","01-20-2020","01-20-2020"
"4097","ncostelloelp@examplecompany.com","10","1500","07-24-2020","07-24-2020"
"3945","tdjuricic6t@examplecompany.com","318","47700","09-12-2020","09-12-2020"
"2373","gdufourent@examplecompany.com","117","17550","11-03-2020","11-03-2020"
"3284","kscholtell@examplecompany.com","149","22350","07-01-2020","07-01-2020"
"8746","jvonhelmholtzmx@examplecompany.com","97","14550","08-12-2020","08-12-2020"
"3392","fsaltersmu@examplecompany.com","274","41100","01-09-2020","01-09-2020"
"3136","rmacconnechie1m@examplecompany.com","74","11100","06-13-2020","06-13-2020"
"2832","cgummery23@examplecompany.com","188","28200","05-18-2020","05-18-2020"
"7763","ilornehz@examplecompany.com","276","41400","08-10-2020","08-10-2020"
"7434","apelfer12@examplecompany.com","248","37200","06-20-2020","06-20-2020"
"5635","mtrahar9p@examplecompany.com","123","18450","02-06-2020","02-06-2020"
"4679","mthowlesshe@examplecompany.com","52","7800","04-17-2020","04-17-2020"
"3825","vkippingpc@examplecompany.com","141","21150","05-02-2020","05-02-2020"
"5913","jlarimer4r@examplecompany.com","339","50850","01-26-2020","01-26-2020"
"5653","jspallsq1@examplecompany.com","289","43350","03-26-2020","03-26-2020"
"4005","efullstoneib@examplecompany.com","462","69300","03-23-2020","10-15-2020"
"6409","bgrottyab@examplecompany.com","65","9750","04-15-2020","04-15-2020"
"7674","pivanishin57@examplecompany.com","315","47250","05-16-2020","05-16-2020"
"2497","twhittleseyki@examplecompany.com","255","38250","06-17-2020","06-17-2020"
"4318","rrabley92@examplecompany.com","48","7200","11-16-2019","11-16-2019"
"6820","oaldreniy@examplecompany.com","222","33300","07-02-2020","07-02-2020"
"3574","gwoolastonid@examplecompany.com","343","51450","11-25-2020","11-25-2020"
"1931","mingledow3i@examplecompany.com","157","23550","07-27-2020","07-27-2020"
"2873","aturnergg@examplecompany.com","173","25950","11-03-2020","11-03-2020"
"9713","ebrauntonoy@examplecompany.com","25","3750","08-18-2020","08-18-2020"
"7647","kparsandaq@examplecompany.com","509","76350","04-24-2020","11-25-2020"
"8456","mdonkev@examplecompany.com","77","11550","09-09-2020","09-09-2020"
"6637","slackyhf@examplecompany.com","74","11100","08-23-2020","08-23-2020"
"9804","fbysouthi9@examplecompany.com","208","31200","07-16-2020","07-16-2020"
"6174","gbomba6@examplecompany.com","179","26850","01-30-2020","01-30-2020"
"2661","hlornsenc@examplecompany.com","215","32250","11-27-2020","11-27-2020"
"9904","kpietersenp1@examplecompany.com","340","51000","02-12-2020","02-12-2020"
"7479","ebuckbyhx@examplecompany.com","335","50250","02-23-2020","02-23-2020"
"9462","mlicarid2@examplecompany.com","344","51600","11-29-2020","11-29-2020"
"2527","mmagillpn@examplecompany.com","211","31650","06-05-2020","06-05-2020"
"4682","llynas3s@examplecompany.com","162","24300","03-16-2020","03-16-2020"
"6069","ikemmis42@examplecompany.com","288","43200","01-29-2020","08-11-2020"
"5907","waudritt2p@examplecompany.com","245","36750","07-06-2020","07-06-2020"
"9066","nvereo6@examplecompany.com","190","28500","07-21-2020","07-21-2020"
"3588","uhartwrightoj@examplecompany.com","125","18750","11-22-2020","11-22-2020"
"9870","mfrankeeb@examplecompany.com","20","3000","11-01-2020","11-01-2020"
"3781","gcapaldic2@examplecompany.com","478","71700","03-07-2020","09-04-2020"
"4022","jdaldrylg@examplecompany.com","343","51450","09-04-2020","09-04-2020"
"2676","atrousdellpt@examplecompany.com","72","10800","10-11-2020","10-11-2020"
"3322","nditzelgh@examplecompany.com","58","8700","05-09-2020","05-09-2020"
"4079","wteagerx@examplecompany.com","234","35100","05-21-2020","05-21-2020"
"3263","lgildingl8@examplecompany.com","92","13800","04-17-2020","04-17-2020"
"5143","chathawaybw@examplecompany.com","164","24600","04-25-2020","04-25-2020"
"5960","cchazettefc@examplecompany.com","239","35850","03-10-2020","03-10-2020"
"1906","tgethyn71@examplecompany.com","309","46350","01-20-2020","05-03-2020"
"5933","mtabererhl@examplecompany.com","8","1200","01-23-2020","01-23-2020"
"6432","fproschekaa@examplecompany.com","365","54750","04-19-2020","08-27-2020"
"7472","rhuettgy@examplecompany.com","252","37800","05-14-2020","05-14-2020"
"8377","mbootsmr@examplecompany.com","153","22950","04-22-2020","04-22-2020"
"1292","jtempletoncb@examplecompany.com","264","39600","07-25-2020","07-25-2020"
"5834","bebdinae@examplecompany.com","200","30000","05-19-2020","05-19-2020"
"8635","ctoulchdv@examplecompany.com","86","12900","03-26-2020","03-26-2020"
"9268","ecortez7b@examplecompany.com","170","25500","04-17-2020","04-17-2020"
"1894","mgullefordfv@examplecompany.com","149","22350","06-08-2020","06-08-2020"
"4681","dschultzemo@examplecompany.com","87","13050","02-13-2020","02-13-2020"
"3830","kdillawaynz@examplecompany.com","107","16050","08-31-2020","08-31-2020"
"6758","tspontonem@examplecompany.com","12","1800","06-19-2020","06-19-2020"
"6004","byockneyic@examplecompany.com","305","45750","08-21-2020","08-21-2020"
"1481","cbeterissex@examplecompany.com","339","50850","06-12-2020","06-12-2020"
"7510","wmorpheykg@examplecompany.com","198","29700","04-02-2020","04-02-2020"
"5113","chartburnu@examplecompany.com","23","3450","11-15-2019","11-15-2019"
"8425","rgillett78@examplecompany.com","151","22650","08-10-2020","08-10-2020"
"1448","bmacbey1t@examplecompany.com","258","38700","11-22-2019","11-22-2019"
"2182","jadlamd@examplecompany.com","6","900","11-06-2019","11-06-2019"
"2013","pleithl2@examplecompany.com","219","32850","04-29-2020","04-29-2020"
"9822","ffantinia9@examplecompany.com","21","3150","03-02-2020","03-02-2020"
"7391","mhydeshv@examplecompany.com","292","43800","08-30-2020","08-30-2020"
"1905","rsherrumbu@examplecompany.com","340","51000","04-21-2020","04-21-2020"
"6039","mhaddeston5s@examplecompany.com","126","18900","09-15-2020","09-15-2020"
"3956","rcrookallgm@examplecompany.com","162","24300","01-29-2020","01-29-2020"
"1675","adaniellsfh@examplecompany.com","229","34350","09-25-2020","09-25-2020"
"7844","mchatellny@examplecompany.com","301","45150","11-24-2019","11-24-2019"
"1881","ogallegosly@examplecompany.com","311","46650","02-24-2020","02-24-2020"
"1203","ckelbererkb@examplecompany.com","47","7050","11-15-2019","11-15-2019"
"3757","obowerydo@examplecompany.com","265","39750","11-20-2019","11-20-2019"
"8874","gdoolandjf@examplecompany.com","54","8100","11-18-2019","11-18-2019"
"2306","sdeavall9c@examplecompany.com","350","52500","11-30-2019","11-30-2019"
"1358","itrumanp2@examplecompany.com","253","37950","11-09-2019","11-09-2019"
"5941","nwoodyer3q@examplecompany.com","110","16500","01-31-2020","01-31-2020"
"2411","wcrichmerece@examplecompany.com","58","8700","03-07-2020","03-07-2020"
"9729","bashtonhurstf2@examplecompany.com","73","10950","12-29-2019","12-29-2019"
"2142","egherardelli75@examplecompany.com","488","73200","11-09-2019","07-29-2020"
"6367","csiward5a@examplecompany.com","218","32700","07-26-2020","07-26-2020"
"2671","spallisle@examplecompany.com","236","35400","03-08-2020","03-08-2020"
"5967","gpelmany@examplecompany.com","242","36300","06-18-2020","06-18-2020"
"7908","tfawlks1e@examplecompany.com","166","24900","10-18-2020","10-18-2020"
"7110","pvelten7r@examplecompany.com","333","49950","05-17-2020","05-17-2020"
"1184","nhayneb6@examplecompany.com","150","22500","01-09-2020","01-09-2020"
"4852","jemmattfa@examplecompany.com","212","31800","05-29-2020","05-29-2020"
"4570","fmowlammh@examplecompany.com","326","48900","08-02-2020","08-02-2020"
"8574","gsheppey6@examplecompany.com","219","32850","04-01-2020","04-01-2020"
"5622","tfuncheonnf@examplecompany.com","42","6300","05-17-2020","05-17-2020"
"8915","ptrineman5q@examplecompany.com","618","92700","11-11-2019","06-30-2020"
"7063","mcorradil7@examplecompany.com","186","27900","07-08-2020","07-08-2020"
"3173","kwhitebreadop@examplecompany.com","40","6000","05-28-2020","05-28-2020"
"2082","acockaynedu@examplecompany.com","32","4800","11-20-2020","11-20-2020"
"7520","lpeacham3k@examplecompany.com","213","31950","08-15-2020","08-15-2020"
"9575","flafrentz66@examplecompany.com","131","19650","11-17-2019","08-03-2020"
"6924","cbulbeckcu@examplecompany.com","196","29400","01-28-2020","01-28-2020"
"1626","dbewfielden@examplecompany.com","323","48450","01-23-2020","01-23-2020"
"8180","asilby90@examplecompany.com","302","45300","02-26-2020","02-26-2020"
"7906","lpodmoreay@examplecompany.com","128","19200","11-29-2020","11-29-2020"
"1414","msperski6m@examplecompany.com","213","31950","11-12-2019","11-12-2019"
"2817","cfruish58@examplecompany.com","26","3900","06-05-2020","06-05-2020"
"3470","rmallingnv@examplecompany.com","168","25200","08-29-2020","08-29-2020"
"3006","mbembriggpb@examplecompany.com","85","12750","04-11-2020","04-11-2020"
"2043","floggie54@examplecompany.com","83","12450","07-31-2020","07-31-2020"
"4813","ncrockng@examplecompany.com","140","21000","08-07-2020","08-07-2020"
"3029","jkarpushkin9x@examplecompany.com","264","39600","08-14-2020","08-14-2020"
"5027","wbradshaw3z@examplecompany.com","166","24900","10-19-2020","10-19-2020"
"6003","lmonsonba@examplecompany.com","199","29850","08-31-2020","08-31-2020"
"6480","bsmithendq@examplecompany.com","32","4800","09-21-2020","09-21-2020"
"3446","krichmontlk@examplecompany.com","215","32250","06-05-2020","06-05-2020"
"8405","opinnockegr@examplecompany.com","163","24450","01-03-2020","01-03-2020"
"2458","skenwrightlz@examplecompany.com","58","8700","05-09-2020","05-09-2020"
"5416","cnollethi@examplecompany.com","116","17400","12-07-2019","12-07-2019"
"6146","lbautiste8m@examplecompany.com","213","31950","05-18-2020","05-18-2020"
"5815","btonn64@examplecompany.com","207","31050","11-10-2020","11-10-2020"
"8801","mknightsbridgeoi@examplecompany.com","73","10950","07-29-2020","07-29-2020"
"4644","mbrettoner5o@examplecompany.com","221","33150","05-28-2020","05-28-2020"
"2073","sborsiee@examplecompany.com","236","35400","07-25-2020","07-25-2020"
"3037","bhambidge3@examplecompany.com","347","52050","06-23-2020","06-23-2020"
"9972","glippi2@examplecompany.com","29","4350","06-05-2020","06-05-2020"
"1153","ccleeve3p@examplecompany.com","77","11550","05-02-2020","06-03-2020"
"2226","cdaynehu@examplecompany.com","82","12300","08-08-2020","08-08-2020"
"1545","pdeighan4c@examplecompany.com","310","46500","04-10-2020","04-10-2020"
"6232","mibleah@examplecompany.com","247","37050","08-05-2020","08-05-2020"
"8451","rdetocquevillen@examplecompany.com","276","41400","11-18-2020","11-18-2020"
"8526","hkeareypj@examplecompany.com","68","10200","10-12-2020","10-12-2020"
"5544","byousonbn@examplecompany.com","345","51750","09-22-2020","09-22-2020"
"3789","aborrowmani4@examplecompany.com","281","42150","03-22-2020","03-22-2020"
"1622","akleinplatzo7@examplecompany.com","2","300","07-14-2020","07-14-2020"
"8804","agallemorehp@examplecompany.com","284","42600","08-27-2020","08-27-2020"
"9010","jredolfikt@examplecompany.com","46","6900","07-18-2020","07-18-2020"
"8016","vvuitteja@examplecompany.com","78","11700","07-31-2020","07-31-2020"
"8928","npickf4@examplecompany.com","243","36450","09-21-2020","09-21-2020"
"9128","ecastanyerav@examplecompany.com","328","49200","08-04-2020","08-04-2020"
"9614","rhinemoor6y@examplecompany.com","289","43350","05-11-2020","05-11-2020"
"3327","natheis4b@examplecompany.com","274","41100","06-30-2020","06-30-2020"
"7591","abottonerfj@examplecompany.com","289","43350","07-05-2020","07-05-2020"
"6234","kbinstead4w@examplecompany.com","124","18600","07-15-2020","07-15-2020"
"1499","pkiesseled@examplecompany.com","214","32100","04-09-2020","04-09-2020"
"5435","dlukianovich9e@examplecompany.com","301","45150","10-18-2020","10-18-2020"
"7281","dbleezejj@examplecompany.com","234","35100","05-28-2020","05-28-2020"
"9359","pstairsq7@examplecompany.com","248","37200","04-21-2020","04-21-2020"
"9222","rpaschekey@examplecompany.com","274","41100","08-08-2020","08-08-2020"
"3231","adilland8d@examplecompany.com","146","21900","11-28-2019","11-28-2019"
"9198","lrisendk@examplecompany.com","352","52800","01-18-2020","03-01-2020"
"1278","twittsbp@examplecompany.com","74","11100","03-16-2020","03-16-2020"
"9967","hcuradodg@examplecompany.com","186","27900","05-26-2020","05-26-2020"
"8694","adenidgeld@examplecompany.com","246","36900","08-05-2020","08-05-2020"
"1264","lplayfordcj@examplecompany.com","74","11100","05-31-2020","05-31-2020"
"6783","rhannaa2@examplecompany.com","344","51600","08-01-2020","08-01-2020"
"1592","jrobson9s@examplecompany.com","229","34350","09-15-2020","09-15-2020"
"2744","rburdasc0@examplecompany.com","112","16800","09-08-2020","09-08-2020"
"6719","lelijahbk@examplecompany.com","50","7500","09-09-2020","09-09-2020"
"1805","gbalthasaros@examplecompany.com","57","8550","06-12-2020","06-12-2020"
"4536","cdelacroixkf@examplecompany.com","331","49650","03-02-2020","03-02-2020"
"4367","tfreibergif@examplecompany.com","330","49500","02-05-2020","02-05-2020"
"3529","hdouris6b@examplecompany.com","328","49200","10-17-2020","10-17-2020"
"7680","lvannar9t@examplecompany.com","241","36150","05-29-2020","05-29-2020"
"5268","ltookeydh@examplecompany.com","113","16950","09-08-2020","09-08-2020"
"2712","gpetrushkevichms@examplecompany.com","280","42000","08-20-2020","08-20-2020"
"2121","cprestwich3t@examplecompany.com","75","11250","07-22-2020","07-22-2020"
"8241","sbrimmicombe55@examplecompany.com","243","36450","09-10-2020","09-10-2020"
"2277","mkryska61@examplecompany.com","314","47100","10-26-2020","10-26-2020"
"1127","acoombs5h@examplecompany.com","279","41850","08-12-2020","08-12-2020"
"5399","sstainland8o@examplecompany.com","220","33000","07-20-2020","07-20-2020"
"5604","nmonkley0@examplecompany.com","232","34800","05-21-2020","10-29-2020"
"6653","ngranleeseak@examplecompany.com","543","81450","03-28-2020","05-30-2020"
"2750","mmcquirkfq@examplecompany.com","12","1800","06-03-2020","06-03-2020"
"6611","ysijmons4k@examplecompany.com","326","48900","06-08-2020","06-08-2020"
"3149","ashimonhs@examplecompany.com","2","300","05-12-2020","05-12-2020"
